date,wind,rain,snow,temp_avg,temp_max,temp_min
01/01,nan,0.041818181818181824,0.0,49.5,65.0,34.0
01/02,nan,0.0,0.0,51.05,67.7,34.4
01/03,nan,0.0,0.0,52.05,68.3,35.8
01/04,nan,0.010833333333333334,0.0,53.75,71.75,37.4
01/05,nan,0.024615384615384615,0.0,54.333333333333336,71.22222222222223,37.2
01/06,nan,0.08750000000000001,0.0,54.3,70.3,38.3
01/07,nan,0.059166666666666666,0.0,54.22222222222222,72.11111111111111,36.9
01/08,nan,0.013333333333333334,0.0,53.888888888888886,70.55555555555556,38.4
01/09,nan,0.0009090909090909091,0.0,54.25,70.0,38.5
01/10,nan,0.03666666666666667,0.0,53.625,68.125,39.5
01/11,nan,0.0,0.0,52.666666666666664,68.55555555555556,37.6
01/12,nan,0.005454545454545454,0.0,51.666666666666664,67.77777777777777,35.55555555555556
01/13,nan,0.0275,0.0,53.611111111111114,67.44444444444444,36.125
01/14,nan,0.0025,0.0,53.5,70.33333333333333,36.2
01/15,nan,0.01846153846153846,0.0,55.25,69.3,41.2
01/16,nan,0.0018181818181818182,0.0,54.6,70.5,38.7
01/17,nan,0.0,0.0,55.35,72.9,37.8
01/18,nan,0.0,0.0,55.55555555555556,73.44444444444444,37.7
01/19,nan,0.0023076923076923075,0.0,57.85,74.3,37.22222222222222
01/20,nan,0.012727272727272728,0.0,56.1,70.9,41.3
01/21,nan,0.182,0.0,57.357142857142854,71.85714285714286,43.111111111111114
01/22,nan,0.0,0.0,54.7,71.2,41.25
01/23,nan,0.001,0.0,53.875,70.75,38.77777777777778
01/24,nan,0.022500000000000003,0.0,54.857142857142854,71.14285714285714,40.666666666666664
01/25,nan,0.03272727272727272,0.0,54.94444444444444,71.11111111111111,38.77777777777778
01/26,nan,0.1781818181818182,0.0,53.9375,69.125,38.55555555555556
01/27,nan,0.012727272727272728,0.0,55.27777777777778,71.0,39.55555555555556
01/28,nan,0.002727272727272727,0.0,56.8125,73.875,39.77777777777778
01/29,nan,0.008461538461538461,0.0,60.1875,73.25,47.0
01/30,nan,0.08769230769230768,0.0,57.0,73.0,42.22222222222222
01/31,nan,0.006363636363636364,0.0,59.166666666666664,74.55555555555556,39.375
02/01,nan,0.015,0.0,58.166666666666664,74.22222222222223,42.3
02/02,nan,0.0,0.0,58.833333333333336,75.88888888888889,41.1
02/03,nan,0.028333333333333335,0.0,59.45,73.1,42.55555555555556
02/04,nan,0.0009090909090909091,0.0,56.77777777777778,71.77777777777777,38.77777777777778
02/05,nan,0.0016666666666666668,0.0,58.3,72.9,40.0
02/06,nan,0.010833333333333334,0.0,56.6875,74.125,39.666666666666664
02/07,nan,0.0,0.0,57.6,74.5,37.55555555555556
02/08,nan,0.0,0.0,59.15,77.8,40.5
02/09,nan,0.0,0.0,59.388888888888886,79.0,39.5
02/10,nan,0.0008333333333333334,0.0,59.2,77.6,40.8
02/11,nan,0.047499999999999994,0.0,59.5625,76.25,43.1
02/12,nan,0.0016666666666666668,0.0,58.5,75.0,43.4
02/13,nan,0.0,0.0,58.9,75.0,42.8
02/14,nan,0.013333333333333334,0.0,58.0625,73.625,42.6
02/15,nan,0.045000000000000005,0.0,60.05,76.5,43.6
02/16,nan,0.0008333333333333334,0.0,63.22222222222222,76.88888888888889,45.5
02/17,nan,0.0,0.0,59.0,75.88888888888889,41.6
02/18,nan,0.038461538461538464,0.0,57.833333333333336,75.44444444444444,41.5
02/19,nan,0.11076923076923076,0.0,57.625,72.75,43.888888888888886
02/20,nan,0.021666666666666667,0.0,59.166666666666664,73.88888888888889,40.111111111111114
02/21,nan,0.047499999999999994,0.0,57.5,72.77777777777777,42.2
02/22,nan,0.2969230769230769,0.0,60.25,75.25,41.77777777777778
02/23,nan,0.02153846153846154,0.0,56.625,71.625,42.0
02/24,nan,0.0038461538461538464,0.0,58.111111111111114,72.66666666666667,40.333333333333336
02/25,nan,0.0,0.0,57.27777777777778,73.22222222222223,38.77777777777778
02/26,nan,0.0,0.0,57.4,75.2,39.6
02/27,nan,0.004615384615384616,0.0,59.85,75.6,40.44444444444444
02/28,nan,0.07666666666666667,0.0,60.07142857142857,73.42857142857143,43.0
02/29,nan,0.0,0.0,68.16666666666667,78.33333333333333,44.0
03/01,nan,0.10142857142857142,0.0,61.4,77.1,42.22222222222222
03/02,nan,0.16785714285714287,0.0,61.44444444444444,78.0,44.888888888888886
03/03,nan,0.005833333333333334,0.0,62.65,78.0,45.111111111111114
03/04,nan,0.0,0.0,63.8125,79.5,45.25
03/05,nan,0.0,0.0,66.5,81.625,46.666666666666664
03/06,nan,0.0,0.0,68.15,83.0,45.875
03/07,nan,0.0,0.0,67.41666666666667,83.0,44.625
03/08,nan,0.060000000000000005,0.0,66.125,81.0,47.44444444444444
03/09,nan,0.0,0.0,61.333333333333336,77.66666666666667,46.1
03/10,nan,0.019230769230769232,0.0,63.0625,79.5,47.6
03/11,nan,0.07384615384615384,0.0,63.1,79.8,46.4
03/12,nan,0.09071428571428572,0.0,67.78571428571429,83.57142857142857,52.5
03/13,nan,0.11642857142857144,0.0,67.27777777777777,81.44444444444444,49.22222222222222
03/14,nan,0.007692307692307692,0.0,63.75,81.9,45.6
03/15,nan,0.0,0.0,64.875,83.625,47.6
03/16,nan,0.0,0.0,66.0,84.88888888888889,46.8
03/17,nan,0.0,0.0,66.75,82.9,46.44444444444444
03/18,nan,0.023846153846153847,0.0,69.0,83.42857142857143,47.75
03/19,nan,0.02692307692307692,0.0,63.4,80.0,46.8
03/20,nan,0.0,0.0,64.65,83.1,46.2
03/21,nan,0.0,0.0,66.9375,84.625,48.6
03/22,nan,0.0,0.0,68.94444444444444,83.33333333333333,50.625
03/23,nan,0.010833333333333334,0.0,66.8,82.4,51.0
03/24,nan,0.0,0.0,68.3,81.6,47.5
03/25,nan,0.0,0.0,66.05555555555556,81.88888888888889,48.22222222222222
03/26,nan,0.0007142857142857143,0.0,66.5,83.28571428571429,48.5
03/27,nan,0.0,0.0,65.72222222222223,80.55555555555556,47.44444444444444
03/28,nan,0.0,0.0,67.25,83.75,45.75
03/29,nan,0.0,0.0,66.16666666666667,85.44444444444444,46.888888888888886
03/30,nan,0.0,0.0,66.5,84.875,48.0
03/31,nan,0.0,0.0,68.15,84.9,51.4
04/01,nan,0.0,0.0,69.16666666666667,84.66666666666667,48.666666666666664
04/02,nan,0.0,0.0,66.35,84.2,48.5
04/03,nan,0.008571428571428572,0.0,66.5,85.5,49.3
04/04,nan,0.0007692307692307692,0.0,68.1875,88.5,49.0
04/05,nan,0.0,0.0,68.77777777777777,88.0,49.55555555555556
04/06,nan,0.0,0.0,71.55,88.2,51.44444444444444
04/07,nan,0.0,0.0,72.05555555555556,87.77777777777777,53.111111111111114
